state,year,abortions,avg_unemployment,legal_standard,physical_health_exception,general_health_exception,lethal_fetal_anomoly_exception,rape_or_incest_exception,general,general_numeric
Connecticut,2011,"12,615",9.016666666666666,2,FALSE,TRUE,0,0,Viability,24
Maine,2011,"1,773",7.225,0,TRUE,FALSE,0,0,Viability,24
Massachusetts,2011,"20,703",7.225,0,FALSE,TRUE,40,0,24 weeks,24
New Hampshire,2011,NA,5.483333333333333,2,FALSE,TRUE,40,0,24 weeks,24
Rhode Island,2011,"4,165",11.1,1,FALSE,TRUE,0,0,Viability,24
Vermont,2011,"1,355",5.416666666666667,2,TRUE,TRUE,40,40,No Limit,40
Connecticut,2012,"11,955",8.383333333333333,2,FALSE,TRUE,0,0,Viability,24
Maine,2012,"1,004",6.683333333333334,0,TRUE,FALSE,0,0,Viability,24
Massachusetts,2012,"20,062",6.683333333333334,0,FALSE,TRUE,40,0,24 weeks,24
New Hampshire,2012,NA,5.475,2,FALSE,TRUE,40,0,24 weeks,24
Rhode Island,2012,"3,549",10.3,1,FALSE,TRUE,0,0,Viability,24
Vermont,2012,"1,270",4.791666666666667,2,TRUE,TRUE,40,40,No Limit,40
Connecticut,2013,"10,560",7.95,2,FALSE,TRUE,0,0,Viability,24
Maine,2013,"1,939",6.666666666666667,0,TRUE,FALSE,0,0,Viability,24
Massachusetts,2013,"19,448",6.666666666666667,0,FALSE,TRUE,40,0,24 weeks,24
New Hampshire,2013,NA,5.258333333333333,2,FALSE,TRUE,40,0,24 weeks,24
Rhode Island,2013,"3,251",9.483333333333333,1,FALSE,TRUE,0,0,Viability,24
Vermont,2013,"1,217",4.425,2,TRUE,TRUE,40,40,No Limit,40
Connecticut,2014,"10,611",6.616666666666666,2,FALSE,TRUE,0,0,Viability,24
Maine,2014,"2,021",5.741666666666667,0,TRUE,FALSE,0,0,Viability,24
Massachusetts,2014,"19,354",5.741666666666667,0,FALSE,TRUE,40,0,24 weeks,24
New Hampshire,2014,NA,4.3,2,FALSE,TRUE,40,0,24 weeks,24
Rhode Island,2014,"2,990",7.758333333333333,1,FALSE,TRUE,0,0,Viability,24
Vermont,2014,"1,235",3.9,2,TRUE,TRUE,40,40,No Limit,40
Connecticut,2015,"9,938",5.616666666666667,2,FALSE,TRUE,0,0,Viability,24
Maine,2015,"1,836",4.783333333333333,0,TRUE,FALSE,0,0,Viability,24
Massachusetts,2015,"18,570",4.783333333333333,0,FALSE,TRUE,40,0,24 weeks,24
New Hampshire,2015,NA,3.408333333333333,2,FALSE,TRUE,40,0,24 weeks,24
Rhode Island,2015,"2,649",6.041666666666667,1,FALSE,TRUE,0,0,Viability,24
Vermont,2015,"1,265",3.466666666666667,2,TRUE,TRUE,40,40,No Limit,40
Connecticut,2016,"10,031",4.85,2,FALSE,TRUE,0,0,Viability,24
Maine,2016,"2,021",4.008333333333334,0,TRUE,FALSE,0,0,Viability,24
Massachusetts,2016,"17,901",4.008333333333334,0,FALSE,TRUE,40,0,24 weeks,24
New Hampshire,2016,NA,2.8666666666666667,2,FALSE,TRUE,40,0,24 weeks,24
Rhode Island,2016,"2,479",5.233333333333333,1,FALSE,TRUE,0,0,Viability,24
Vermont,2016,"1,298",3.091666666666667,2,TRUE,TRUE,40,40,No Limit,40
Connecticut,2017,"9,584",4.408333333333333,2,FALSE,TRUE,0,0,Viability,24
Maine,2017,"1,959",3.841666666666667,0,TRUE,FALSE,0,0,Viability,24
Massachusetts,2017,"18,285",3.841666666666667,0,FALSE,TRUE,40,0,24 weeks,24
New Hampshire,2017,NA,2.8083333333333336,2,FALSE,TRUE,40,0,24 weeks,24
Rhode Island,2017,"3,101",4.483333333333333,1,FALSE,TRUE,0,0,Viability,24
Vermont,2017,"1,203",2.925,2,TRUE,TRUE,40,40,No Limit,40
Connecticut,2018,"9,294",3.8833333333333333,2,FALSE,TRUE,0,0,Viability,24
Maine,2018,"1,949",3.466666666666667,0,TRUE,FALSE,0,0,Viability,24
Massachusetts,2018,"18,256",3.466666666666667,0,FALSE,TRUE,40,0,24 weeks,24
New Hampshire,2018,NA,2.625,2,FALSE,TRUE,40,0,24 weeks,24
Rhode Island,2018,"2,817",4.033333333333333,1,FALSE,TRUE,0,0,Viability,24
Vermont,2018,"1,204",2.5083333333333333,2,TRUE,TRUE,40,40,No Limit,40
Connecticut,2019,9202,3.575,2,FALSE,TRUE,0,0,Viability,24
Maine,2019,2021,3.05,0,TRUE,FALSE,0,0,Viability,24
Massachusetts,2019,18593,3.05,0,FALSE,TRUE,40,0,24 weeks,24
New Hampshire,2019,NA,2.5583333333333336,2,FALSE,TRUE,40,0,24 weeks,24
Rhode Island,2019,2099,3.5166666666666666,1,FALSE,TRUE,0,0,Viability,24
Vermont,2019,1195,2.1083333333333334,2,TRUE,TRUE,40,40,No Limit,40
Connecticut,2020,9115,7.983333333333333,2,FALSE,TRUE,0,0,Viability,24
Maine,2020,2064,9.333333333333334,0,TRUE,FALSE,0,0,Viability,24
Massachusetts,2020,16452,9.333333333333334,0,FALSE,TRUE,40,0,24 weeks,24
New Hampshire,2020,NA,6.75,2,FALSE,TRUE,40,0,24 weeks,24
Rhode Island,2020,2611,9.25,1,FALSE,TRUE,0,0,Viability,24
Vermont,2020,1227,5.625,2,TRUE,TRUE,40,40,No Limit,40
Connecticut,2021,10146,6.475,2,FALSE,TRUE,0,0,Viability,24
Maine,2021,1915,5.275,0,TRUE,FALSE,0,0,Viability,24
Massachusetts,2021,16795,5.275,0,FALSE,TRUE,40,0,24 weeks,24
New Hampshire,2021,NA,3.475,2,FALSE,TRUE,40,0,24 weeks,24
Rhode Island,2021,2175,5.591666666666667,1,FALSE,TRUE,0,0,Viability,24
Vermont,2021,1033,3.6333333333333333,2,TRUE,TRUE,40,40,No Limit,40
Connecticut,2022,10146,4.05,2,FALSE,TRUE,0,0,Viability,24
Maine,2022,1915,3.65,0,TRUE,FALSE,0,0,Viability,24
Massachusetts,2022,16795,3.65,0,FALSE,TRUE,40,0,24 weeks,24
New Hampshire,2022,NA,2.441666666666667,2,FALSE,TRUE,40,0,24 weeks,24
Rhode Island,2022,2175,3.2416666666666667,1,FALSE,TRUE,0,0,Viability,24
Vermont,2022,1033,2.3583333333333334,2,TRUE,TRUE,40,40,No Limit,40
